sp,Ns,N1,N2,interval_length,int
aegipa,46,74,64,2.985398926323585,1
beilpe,1582,1866,2143,3.131914194361133,1
tet2pa,2435,2706,3087,3.295361469170426,1
alsebl,5433,6160,6518,3.2714596755377423,1
ocotob,90,164,130,3.2202734585828487,1
solaha,15,52,42,3.023041798384264,1
quaras,1116,1311,1284,3.44937107802654,1
gustsu,29,98,50,3.2894313670673774,1
pterro,1137,1324,1398,3.152696955487028,1
virosu,53,78,53,3.345131253686433,1
simaam,549,771,763,3.067799376251765,1
protte,1773,2029,2209,3.636880120093236,1
brosal,408,452,475,3.359720680656668,1
ingape,113,160,153,4.111253245590475,1
poular,833,1588,936,3.513568372381905,1
casear,45,84,59,3.073028403374351,1
hirttr,2672,3007,3432,3.3771011326839964,1
ocotwh,507,835,607,3.8249396069182744,1
guatdu,764,974,922,3.2559343269706766,1
anacex,1,2,1,4.342465753424658,1
tri2tu,7858,9273,9509,3.5540897640483347,1
guarsp,1078,1296,1234,3.374854851039696,1
guargu,1027,1218,1251,3.545848231327887,1
zantpr,118,138,149,3.2067471183044134,1
termob,30,35,33,3.4909422997094213,1
guazul,5,14,8,3.7299412915851264,1
tab1ro,151,193,187,3.2947393631698865,1
sloate,396,450,427,3.389816189549402,1
alchco,73,151,86,3.332751181989454,1
loncla,467,566,582,3.0957020471012764,1
luehse,42,80,79,3.0335629443384757,1
tripcu,108,162,129,3.700433809619327,1
cecrob,2,14,12,3.0565231572080886,1
licapl,208,226,262,3.84791550028271,1
eugeco,561,628,658,3.3687149283058284,1
heisco,428,477,530,3.400643864334741,1
eugene,389,428,449,3.393109511770136,1
pri2co,774,845,861,2.919497823276382,1
sponra,61,108,85,3.274422956397172,1
poutre,1160,1362,1413,3.3489744466571474,1
guapst,57,81,63,3.2767509845135416,1
cordbi,260,354,395,2.884928587453063,1
zantbe,15,78,101,3.001891864634302,1
annosp,12,30,42,3.2585127201565554,1
tab2ar,749,867,894,3.141970088307347,1
jac1co,27,59,35,3.0166081793757673,1
zantp1,114,179,132,3.2520915514678426,1
chr2ar,257,298,340,3.298665343493286,1
eugeoe,1438,1676,1760,3.2782831312768037,1
huracr,9,14,10,3.8194520547945223,1
sapiau,9,17,15,3.4672253558957817,1
apeime,29,62,34,3.1176028696940556,1
ficuyo,0,0,0,NA,1
ingago,284,349,317,3.3536243056612327,1
ceibpe,9,24,15,3.070593607305936,1
cavapl,1,1,1,2.506849315068493,1
chr2ca,38,43,53,3.262001478658629,1
lindla,8,16,10,3.4802739726027396,1
virose,1193,1419,1315,3.23422392250066,1
pla1pi,70,94,84,3.3649720336983515,1
lacmpa,27,30,30,3.0927853881278535,1
drypst,1455,1630,1635,3.7210941273558062,1
myrofr,7,9,7,3.8107414655359824,1
ingaco,55,82,69,3.134124551489707,1
posola,50,54,56,3.307880336304995,1
casesy,101,132,127,3.1215198582742536,1
pla2el,66,84,82,3.3550570378502207,1
cordal,26,41,41,3.1967256932843293,1
dio2ar,23,28,34,2.960204903879362,1
tratas,14,32,16,2.9804794520547944,1
colugl,0,0,0,NA,1
apeiti,2,10,4,3.2210958904109592,1
gar2in,3083,3307,3608,3.468123809722113,1
poutst,22,24,26,3.13162100456621,1
tab1gu,32,37,37,3.0876712328767124,1
ingafa,49,54,55,3.083670494903372,1
sch1zo,0,0,0,NA,1
sterap,18,36,22,3.2149785526497854,1
cassel,580,625,696,3.095851576129745,1
calolo,419,505,555,3.3385900589318473,1
hyeral,34,45,45,3.286027397260276,1
zuelgu,17,21,22,3.7515388720868175,1
cecrin,23,146,116,3.2221517267262425,1
hassfl,483,648,527,3.2486092378065137,1
sponmo,8,22,24,2.7442611041926095,1
ingama,448,752,652,3.496908107779483,1
allops,81,122,109,3.4404392873992804,1
virosp,22,27,23,3.5288597710277285,1
sympgl,96,112,116,3.5536557797422224,1
mar1la,9,10,14,4.045909980430528,1
ficutr,1,2,1,3.6561643835616437,1
aspicr,328,364,375,3.6613093281148075,1
dendar,25,41,30,2.903485911571444,1
andiin,187,220,208,3.5333523325989074,1
diptpa,15,21,17,3.249184605348988,1
ast2gr,14,22,15,3.364674138646741,1
hirtam,29,34,33,3.9223719874001937,1
ficuob,0,1,1,4.021917808219178,1
tropra,192,217,231,3.5294416292206825,1
protpa,2170,2405,2510,3.0986720483429533,1
ficuto,8,13,9,3.5775436131600507,1
unonpi,399,498,492,3.435411878050122,1
maquco,792,905,949,3.3946067803549806,1
gar2ma,496,542,561,3.2990966514309497,1
macrgl,59,62,69,3.897815519990778,1
cespma,3,4,3,3.6931506849315068,1
cordla,596,798,754,3.4149056646558047,1
cupala,28,39,31,3.439267140283489,1
zantse,0,0,0,NA,1
xyl1ma,518,608,657,3.6375169271304864,1
geniam,46,56,48,3.5378261578604047,1
ingasp,3,4,6,3.1732876712328766,1
hampap,3,23,8,3.22383859440143,1
sapisp,0,0,0,NA,1
nectci,219,282,275,2.7582661120090455,1
ficuma,4,4,4,2.9753424657534246,1
maytsc,40,49,46,3.6499398329909694,1
phoeci,38,59,56,3.2177468572755297,1
licahy,77,85,87,3.2518639954800976,1
tachve,2338,2684,2722,3.203398587969979,1
protco,500,633,587,3.303367394192221,1
celtsc,64,89,71,3.4927552694959982,1
nects1,6,8,8,3.93013698630137,1
ormocr,28,35,37,3.6796297667530538,1
apeihy,0,0,0,NA,1
ficupo,1,1,1,2.5315068493150683,1
turpoc,25,42,25,3.142640574037834,1
tremmi,0,6,2,2.958904109589041,1
ingasa,173,236,201,3.2295043819675695,1
ocotce,213,289,272,3.2912819358202565,1
guargr,31,35,36,3.0227571211132824,1
ingapu,4,5,9,3.754703196347032,1
nectgl,59,92,90,3.621596188207267,1
micoar,285,446,573,3.1853288645732194,1
ficuc2,3,7,4,3.245107632093933,1
ficuin,4,5,4,3.846027397260274,1
ormoma,55,65,71,3.1233612846732655,1
termam,20,27,25,3.0437422628107558,1
tri2pa,338,404,410,3.247482905657755,1
ficubu,0,0,0,NA,1
tet4jo,0,2,0,NA,1
pse1se,6,12,6,3.591324200913242,1
tocopi,1,2,3,3.1794520547945204,1
sch2mo,0,0,0,NA,1
pochse,8,12,10,3.538310502283103,1
ocotpu,162,236,208,3.0343090853887213,1
ingami,4,5,7,3.3412915851272005,1
ingaru,14,21,17,3.489183070488469,1
cuparu,40,47,64,3.3037170285631,1
poutfo,1,1,1,2.506849315068493,1
vochfe,12,19,12,2.988608507570295,1
ast1st,1,4,1,4.196575342465754,1
coccco,116,136,148,3.3278393623276763,1
cupaci,2,3,3,2.936986301369863,1
tri4ga,0,0,0,NA,1
laetpr,2,10,5,2.843561643835615,1
lafopu,3,3,3,2.808219178082192,1
entesc,7,7,7,3.2035225048923666,1
cedrod,0,3,0,NA,1
ingaqu,505,601,576,3.4902246414524747,1
pourbi,21,24,25,2.8738401826484017,1
pit1ma,0,0,0,NA,1
ingath,38,45,58,2.629386448328346,1
pochqu,0,0,0,NA,1
alchla,0,0,0,NA,1
sipagu,6,10,7,2.5938551859099803,1
ochrpy,0,2,2,2.7150684931506848,1
oenoma,11,36,21,3.0609589041095893,1
ery2ma,230,280,261,3.3666596561471356,1
nectpu,53,70,64,3.1044740704500993,1
socrex,74,164,93,2.999163639890929,1
perexa,184,214,212,2.670303369945141,1
chimpa,1,1,2,3.032876712328767,1
schipa,9,11,9,2.5834232738342346,1
elaeol,0,0,0,NA,1
maclti,1,1,1,2.6246575342465754,1
aegipa,34,64,38,5.25851658255227,2
beilpe,1724,2143,2208,5.2670371628622945,2
tet2pa,2611,3087,3374,5.256935179276159,2
alsebl,5365,6518,6721,5.277714575597307,2
ocotob,54,130,138,5.255382782791953,2
solaha,8,42,49,5.286506383375268,2
quaras,1042,1284,1218,5.297820523412415,2
gustsu,23,50,71,5.298498167084699,2
pterro,1096,1398,1464,5.257640356290518,2
virosu,34,53,40,5.246368570690103,2
simaam,427,763,784,5.2446756225425935,2
protte,1769,2209,2300,5.282922021046067,2
brosal,411,475,479,5.266617312864911,2
ingape,99,153,131,5.31334808244466,2
poular,477,936,530,5.340469113466012,2
casear,22,59,36,5.223014214586075,2
hirttr,2968,3432,3668,5.263465561243455,2
ocotwh,348,607,429,5.305896534765214,2
guatdu,688,922,870,5.266144583786314,2
anacex,0,1,0,NA,2
tri2tu,7750,9509,9822,5.296602025661958,2
guarsp,945,1234,1127,5.263263237613718,2
guargu,1021,1251,1339,5.2771938341579165,2
zantpr,86,149,97,5.271196101866324,2
termob,24,33,34,5.321644323981151,2
guazul,4,8,9,5.195912154816265,2
tab1ro,137,187,202,5.268184102858308,2
sloate,381,427,413,5.2356471057137535,2
alchco,19,86,46,5.200983420363729,2
loncla,449,582,634,5.24364776461528,2
luehse,37,79,105,5.261735490103793,2
tripcu,71,129,96,5.330526574280555,2
cecrob,0,12,16,5.254680365296803,2
licapl,222,262,280,5.2703451546884565,2
eugeco,511,658,630,5.282089816009951,2
heisco,443,530,533,5.224140730887797,2
eugene,381,449,446,5.284374638729361,2
pri2co,760,861,853,5.188353568960446,2
sponra,48,85,119,5.235634856682395,2
poutre,1096,1413,1436,5.275769620500034,2
guapst,37,63,42,5.248423570341376,2
cordbi,216,395,613,5.23168478130195,2
zantbe,2,101,46,5.22071011151145,2
annosp,19,42,100,5.262838878016961,2
tab2ar,710,894,954,5.258245785878268,2
jac1co,16,35,24,5.178349641226353,2
zantp1,73,132,123,5.145655519444362,2
chr2ar,289,340,533,5.2707399165171225,2
eugeoe,1380,1760,1841,5.286689618912783,2
huracr,9,10,10,5.299726027397258,2
sapiau,4,15,16,5.238344748858448,2
apeime,20,34,30,5.255686274509803,2
ficuyo,0,0,0,NA,2
ingago,245,317,325,5.266361576023908,2
ceibpe,7,15,13,5.2991640323147156,2
cavapl,1,1,2,5.482191780821918,2
chr2ca,47,53,81,5.3104927103376305,2
lindla,3,10,9,5.3244444444444445,2
virose,1044,1315,1117,5.259274709501385,2
pla1pi,47,84,79,5.233955097558356,2
lacmpa,20,30,29,5.245085813257754,2
drypst,1400,1635,1599,5.29674874243933,2
myrofr,7,7,7,5.270058708414874,2
ingaco,42,69,64,5.271054198927933,2
posola,47,56,50,5.254796477495108,2
casesy,85,127,113,5.238897198706024,2
pla2el,56,82,84,5.271720522488983,2
cordal,20,41,45,5.251468240709804,2
dio2ar,32,34,48,5.2667438893365555,2
tratas,5,16,7,5.165875733855187,2
colugl,0,0,0,NA,2
apeiti,1,4,5,5.015890410958904,2
gar2in,3250,3608,3790,5.2734890582222835,2
poutst,22,26,28,5.259001956947163,2
tab1gu,32,37,36,5.23429388292402,2
ingafa,44,55,67,5.227754874444711,2
sch1zo,0,0,0,NA,2
sterap,16,22,27,5.3084866934182005,2
cassel,606,696,759,5.267321227306646,2
calolo,456,555,722,5.239025257565081,2
hyeral,30,45,44,5.194409851944098,2
zuelgu,16,22,24,5.31873183893732,2
cecrin,9,116,83,5.256762240269533,2
hassfl,346,527,383,5.268848523315483,2
sponmo,6,24,48,5.24412100456621,2
ingama,308,652,561,5.26885921449083,2
allops,77,109,95,5.254469880872849,2
virosp,14,23,17,5.3016711628069935,2
sympgl,99,116,124,5.276312340957229,2
mar1la,10,14,10,5.226144814090018,2
ficutr,0,1,0,NA,2
aspicr,331,375,383,5.3156722724942504,2
dendar,18,30,19,5.199951934631099,2
andiin,166,208,200,5.298499473129609,2
diptpa,12,17,16,5.259760273972603,2
ast2gr,7,15,19,5.17414083153088,2
hirtam,26,33,32,5.291150373599002,2
ficuob,0,1,0,NA,2
tropra,191,231,241,5.274638648832933,2
protpa,2139,2510,2635,5.232653948164607,2
ficuto,4,9,4,5.378462709284627,2
unonpi,353,492,468,5.257336777266614,2
maquco,793,949,984,5.253056435042024,2
gar2ma,363,561,433,5.229410947005157,2
macrgl,56,69,71,5.297831539564967,2
cespma,2,3,3,5.49041095890411,2
cordla,533,754,796,5.257190680702671,2
cupala,23,31,35,5.299609873114074,2
zantse,0,0,0,NA,2
xyl1ma,553,657,730,5.29821188048623,2
geniam,43,48,45,5.277690258751902,2
ingasp,4,6,5,5.342191780821918,2
hampap,2,8,14,5.160812133072408,2
sapisp,0,0,0,NA,2
nectci,183,275,240,5.1671307596513065,2
ficuma,2,4,4,5.183561643835616,2
maytsc,41,46,50,5.306106015485407,2
phoeci,29,56,56,5.267025440313115,2
licahy,77,87,96,5.338694693749018,2
tachve,2145,2722,2792,5.25409962774336,2
protco,422,587,577,5.2721184409626725,2
celtsc,53,71,61,5.296438229647365,2
nects1,4,8,4,5.322945205479452,2
ormocr,29,37,46,5.299417285063501,2
apeihy,0,0,0,NA,2
ficupo,0,1,1,5.336986301369863,2
turpoc,0,25,1,5.3423561643835615,2
tremmi,0,2,2,4.921917808219178,2
ingasa,134,201,177,5.234225205525658,2
ocotce,171,272,269,5.267070041847773,2
guargr,32,36,38,5.272490587198591,2
ingapu,4,9,11,5.293067662930679,2
nectgl,49,90,97,5.259251518147153,2
micoar,228,573,740,5.2711972684152295,2
ficuc2,0,4,0,NA,2
ficuin,1,4,3,5.368949771689498,2
ormoma,66,71,97,5.2644796330589125,2
termam,19,25,21,5.244639269406393,2
tri2pa,324,410,409,5.265547075204819,2
ficubu,0,0,0,NA,2
tet4jo,0,0,1,NA,2
pse1se,1,6,10,5.071598173515982,2
tocopi,2,3,2,5.273972602739726,2
sch2mo,0,0,0,NA,2
pochse,9,10,9,5.259634703196349,2
ocotpu,120,208,176,5.2694918095603045,2
ingami,5,7,7,5.245401174168297,2
ingaru,11,17,11,5.350655629624205,2
cuparu,43,64,87,5.236981872933395,2
poutfo,1,1,1,5.1808219178082195,2
vochfe,7,12,12,5.169406392694063,2
ast1st,1,1,1,5.241095890410959,2
coccco,111,148,140,5.2500137515206005,2
cupaci,2,3,8,5.4103881278538815,2
tri4ga,0,0,0,NA,2
laetpr,2,5,8,5.193424657534248,2
lafopu,0,3,0,NA,2
entesc,6,7,7,5.129941291585126,2
cedrod,0,0,7,NA,2
ingaqu,449,576,539,5.271022797869667,2
pourbi,16,25,21,5.18155772994129,2
pit1ma,0,0,0,NA,2
ingath,34,58,65,5.1797412884706215,2
pochqu,0,0,0,NA,2
alchla,0,0,1,NA,2
sipagu,2,7,3,5.1629484670580545,2
ochrpy,0,2,1,5.6136986301369864,2
oenoma,4,21,22,5.199377334993773,2
ery2ma,191,261,257,5.280920087546088,2
nectpu,39,64,63,5.246236953685586,2
socrex,17,93,38,5.187610763541642,2
perexa,166,212,206,5.210575723889414,2
chimpa,1,2,1,5.528767123287671,2
schipa,5,9,8,5.254870624048705,2
elaeol,0,0,0,NA,2
maclti,0,1,0,NA,2
aegipa,21,38,24,4.7902847873107435,3
beilpe,1759,2208,2040,4.798375535741392,3
tet2pa,2893,3374,3363,4.792154280219459,3
alsebl,5695,6721,6386,4.773046318506348,3
ocotob,62,138,105,4.766682549136392,3
solaha,5,49,18,4.820495138694748,3
quaras,1029,1218,1163,4.759240129452768,3
gustsu,27,71,49,4.74662456145877,3
pterro,1142,1464,1350,4.783369754888507,3
virosu,28,40,28,4.7584148727984354,3
simaam,485,784,732,4.79540531797718,3
protte,1909,2300,2172,4.782484046783089,3
brosal,422,479,458,4.780205316478682,3
ingape,79,131,91,4.759887984022668,3
poular,317,530,336,4.789455870226094,3
casear,20,36,31,4.804384543624492,3
hirttr,3193,3668,3573,4.771546707465028,3
ocotwh,229,429,257,4.758429659106596,3
guatdu,609,870,703,4.779485131652301,3
anacex,0,0,1,NA,3
tri2tu,8359,9822,9528,4.76106473496763,3
guarsp,899,1127,995,4.779172758445265,3
guargu,1098,1339,1291,4.769356937915022,3
zantpr,64,97,71,4.762454177117499,3
termob,25,34,32,4.800392828364222,3
guazul,5,9,8,4.6668569254185694,3
tab1ro,141,202,157,4.785625725123776,3
sloate,360,413,373,4.790039604014983,3
alchco,14,46,21,4.76230182364786,3
loncla,489,634,580,4.801493304166809,3
luehse,46,105,76,4.805860541765374,3
tripcu,55,96,76,4.712648702235043,3
cecrob,2,16,17,4.725886381950038,3
licapl,242,280,269,4.774214674921246,3
eugeco,512,630,576,4.78829664057404,3
heisco,473,533,503,4.794235987350205,3
eugene,381,446,430,4.771689078667483,3
pri2co,772,853,811,4.802995305420723,3
sponra,62,119,118,4.76695763980076,3
poutre,1110,1436,1282,4.773507218153418,3
guapst,36,42,40,4.822658186562295,3
cordbi,319,613,489,4.826966802013742,3
zantbe,5,46,36,5.02420753093773,3
annosp,53,100,120,4.767529680365297,3
tab2ar,803,954,1002,4.792446192305661,3
jac1co,7,24,15,4.861415525114156,3
zantp1,65,123,76,4.827726097736823,3
chr2ar,461,533,550,4.777863555755971,3
eugeoe,1438,1841,1684,4.774244607843769,3
huracr,4,10,4,4.761643835616439,3
sapiau,6,16,10,4.739006849315064,3
apeime,11,30,15,4.7544292237442916,3
ficuyo,0,0,0,NA,3
ingago,250,325,274,4.7687010375885475,3
ceibpe,2,13,2,4.890516332982088,3
cavapl,1,2,2,5.126027397260274,3
chr2ca,66,81,98,4.798271881050749,3
lindla,4,9,7,4.880017395085887,3
virose,885,1117,900,4.787688685582849,3
pla1pi,52,79,95,4.753101585244539,3
lacmpa,21,29,28,4.7876408664552255,3
drypst,1387,1599,1520,4.758458765459485,3
myrofr,6,7,6,4.735942596216569,3
ingaco,34,64,40,4.875616438356164,3
posola,43,50,50,4.815123287671232,3
casesy,76,113,92,4.762347214682148,3
pla2el,51,84,67,4.798096114340238,3
cordal,20,45,32,4.860683028919331,3
dio2ar,42,48,54,4.852467021816337,3
tratas,2,7,3,4.903587736464447,3
colugl,0,0,0,NA,3
apeiti,0,5,2,4.986849315068493,3
gar2in,3419,3790,3752,4.769640437835813,3
poutst,24,28,32,4.74382338551859,3
tab1gu,30,36,35,4.803220265275063,3
ingafa,51,67,65,4.801811175943256,3
sch1zo,0,0,0,NA,3
sterap,17,27,24,4.838939624556063,3
cassel,700,759,788,4.783806138222741,3
calolo,598,722,835,4.763030785846062,3
hyeral,29,44,35,4.822828678171143,3
zuelgu,15,24,28,4.762018917155903,3
cecrin,2,83,74,4.757493654737424,3
hassfl,240,383,263,4.787170839647463,3
sponmo,20,48,48,4.80519406392694,3
ingama,267,561,372,4.740928271039266,3
allops,59,95,65,4.770785868781546,3
virosp,9,17,12,4.653639538006983,3
sympgl,103,124,120,4.78303579319487,3
mar1la,9,10,11,4.7800996264009985,3
ficutr,0,0,1,NA,3
aspicr,330,383,366,4.741401939647379,3
dendar,10,19,11,4.865137314019796,3
andiin,182,200,197,4.7568862387872874,3
diptpa,11,16,13,4.812947839831399,3
ast2gr,15,19,28,4.738546709238856,3
hirtam,25,32,26,4.767169388830344,3
ficuob,0,0,1,NA,3
tropra,205,241,237,4.78167894259824,3
protpa,2278,2635,2571,4.8112625264080044,3
ficuto,2,4,2,4.977397260273973,3
unonpi,335,468,386,4.788129673813538,3
maquco,854,984,954,4.790549332089344,3
gar2ma,302,433,330,4.766412557988372,3
macrgl,58,71,63,4.766621035191358,3
cespma,2,3,2,4.786301369863014,3
cordla,570,796,757,4.771118144785557,3
cupala,20,35,27,4.764772051895337,3
zantse,0,0,0,NA,3
xyl1ma,622,730,756,4.747829546029958,3
geniam,36,45,37,4.7903755810605135,3
ingasp,3,5,3,4.908493150684931,3
hampap,3,14,8,4.79055772994129,3
sapisp,0,0,0,NA,3
nectci,143,240,175,4.829639921722112,3
ficuma,1,4,1,4.971232876712329,3
maytsc,43,50,48,4.750413242009133,3
phoeci,28,56,43,4.7562372002002435,3
licahy,91,96,103,4.740721283858667,3
tachve,2250,2792,2629,4.786975808533998,3
protco,456,577,526,4.780797210787714,3
celtsc,47,61,48,4.780288569503704,3
nects1,1,4,1,4.726027397260274,3
ormocr,46,46,58,4.800433344971353,3
apeihy,0,0,0,NA,3
ficupo,0,1,0,NA,3
turpoc,1,1,4,4.925342465753425,3
tremmi,0,2,6,4.936986301369863,3
ingasa,127,177,142,4.779967865392184,3
ocotce,182,269,236,4.781296160913803,3
guargr,30,38,39,4.818072578707041,3
ingapu,7,11,8,4.667434620174345,3
nectgl,60,97,93,4.805299962188684,3
micoar,269,740,611,4.814558449892171,3
ficuc2,0,0,1,NA,3
ficuin,2,3,5,4.657899543378991,3
ormoma,94,97,107,4.792349937373542,3
termam,13,21,14,4.7791258969341195,3
tri2pa,327,409,382,4.78177031283674,3
ficubu,0,0,1,NA,3
tet4jo,0,1,0,NA,3
pse1se,3,10,4,4.631369863013699,3
tocopi,2,2,2,4.8054794520547945,3
sch2mo,0,0,0,NA,3
pochse,7,9,8,4.762899543378995,3
ocotpu,99,176,126,4.818511435292261,3
ingami,3,7,4,4.800293542074366,3
ingaru,7,11,8,4.707503113325029,3
cuparu,74,87,99,4.783761087492781,3
poutfo,1,1,1,4.923287671232877,3
vochfe,6,12,8,4.8220319634703195,3
ast1st,0,1,0,NA,3
coccco,84,140,103,4.767400870176509,3
cupaci,5,8,6,4.776369863013699,3
tri4ga,0,0,0,NA,3
laetpr,3,8,6,4.905479452054794,3
lafopu,0,0,0,NA,3
entesc,6,7,6,4.874494455316375,3
cedrod,2,7,3,4.8337899543379,3
ingaqu,432,539,469,4.766952666459049,3
pourbi,17,21,26,4.832440162577151,3
pit1ma,0,0,0,NA,3
ingath,33,65,62,4.861142798871479,3
pochqu,0,0,0,NA,3
alchla,1,1,1,4.906849315068493,3
sipagu,1,3,2,4.797716894977169,3
ochrpy,0,1,0,NA,3
oenoma,8,22,22,4.825280199252802,3
ery2ma,182,257,230,4.771858272132521,3
nectpu,51,63,68,4.796112965734238,3
socrex,12,38,38,4.836842105263157,3
perexa,166,206,183,4.815253234610755,3
chimpa,1,1,1,4.835616438356165,3
schipa,6,8,8,4.885616438356164,3
elaeol,0,0,0,NA,3
maclti,0,0,0,NA,3
aegipa,12,24,18,4.993645357686449,4
beilpe,1569,2040,1772,4.995502937932654,4
tet2pa,2848,3363,3415,5.001397707577596,4
alsebl,5264,6386,6002,4.993508350790217,4
ocotob,46,105,87,5.0702188631711556,4
solaha,2,18,26,4.998618428755413,4
quaras,969,1163,1084,4.994073624448655,4
gustsu,20,49,39,4.973298065274583,4
pterro,1032,1350,1204,5.001945040293556,4
virosu,20,28,22,5.02116171499733,4
simaam,400,732,763,4.994576773263238,4
protte,1788,2172,2068,4.997193920783037,4
brosal,406,458,434,4.989476288521107,4
ingape,59,91,73,4.986046904868448,4
poular,193,336,206,4.963641315017828,4
casear,17,31,29,4.9521629816996064,4
hirttr,2973,3573,3213,4.993429214003749,4
ocotwh,128,257,158,4.988870529289481,4
guatdu,464,703,566,4.995912960966042,4
anacex,0,1,2,5.387671232876713,4
tri2tu,7895,9528,8904,4.98712110558664,4
guarsp,749,995,819,4.994106232905708,4
guargu,1034,1291,1202,4.995140662234313,4
zantpr,46,71,52,5.0183150536517305,4
termob,26,32,27,4.976832825976662,4
guazul,5,8,21,5.159670580560989,4
tab1ro,122,157,142,5.001821240680271,4
sloate,324,373,333,5.001732034285564,4
alchco,5,21,51,5.107125589962011,4
loncla,427,580,492,5.005624003901825,4
luehse,36,76,92,5.035665026174726,4
tripcu,39,76,56,4.973004428880419,4
cecrob,1,17,43,5.16110788373967,4
licapl,216,269,245,4.993771067320854,4
eugeco,431,576,471,4.994224677408409,4
heisco,427,503,461,5.001338936930816,4
eugene,372,430,414,4.992106843466866,4
pri2co,705,811,744,5.013918472418301,4
sponra,52,118,169,5.169586458263208,4
poutre,936,1282,1058,4.994037993904455,4
guapst,26,40,29,4.95733821445442,4
cordbi,211,489,307,5.015657133753059,4
zantbe,10,36,78,4.784591968153611,4
annosp,21,120,85,5.099719312382486,4
tab2ar,805,1002,974,5.000748731784553,4
jac1co,5,15,15,5.007488584474886,4
zantp1,25,76,41,4.999737985123182,4
chr2ar,454,550,512,4.9936037320983795,4
eugeoe,1226,1684,1424,5.001156563398346,4
huracr,2,4,3,4.998630136986302,4
sapiau,3,10,15,5.086210045662105,4
apeime,6,15,13,5.078665261678961,4
ficuyo,0,0,1,NA,4
ingago,201,274,235,5.009376849549089,4
ceibpe,1,2,9,4.874733637747337,4
cavapl,1,2,2,4.920547945205479,4
chr2ca,78,98,105,5.0083440499487395,4
lindla,4,7,6,5.0166340508806275,4
virose,673,900,691,4.98978542557386,4
pla1pi,57,95,82,4.965841349112843,4
lacmpa,20,28,24,4.97793542074364,4
drypst,1305,1520,1448,4.998410198090397,4
myrofr,4,6,5,4.917990867579909,4
ingaco,27,40,36,4.9845814307458145,4
posola,40,50,41,4.992030738389576,4
casesy,57,92,70,5.002412150089339,4
pla2el,37,67,50,4.962664485790222,4
cordal,17,32,28,4.948960371819964,4
dio2ar,45,54,57,5.01536222596064,4
tratas,1,3,8,4.900228310502283,4
colugl,0,0,2,NA,4
apeiti,1,2,6,5.004566210045662,4
gar2in,3401,3752,3808,4.991071815150101,4
poutst,32,32,34,5.003379331184528,4
tab1gu,28,35,28,5.01704500978473,4
ingafa,43,65,46,5.023780638658542,4
sch1zo,0,0,0,NA,4
sterap,14,24,19,4.963794760874792,4
