sp,Ns,N1,N2,interval_length,int
cassel,696,788,784,5.003509378161945,4
calolo,680,835,974,4.980797023151526,4
hyeral,18,35,26,5.056862863164235,4
zuelgu,18,28,23,4.970058708414873,4
cecrin,10,74,330,5.148931147835256,4
hassfl,161,263,183,4.997056142211414,4
sponmo,21,48,40,5.037625570776256,4
ingama,167,372,242,5.01415549460783,4
allops,41,65,57,4.990704157654406,4
virosp,5,12,7,4.9795825179386854,4
sympgl,88,120,112,4.994432485322898,4
mar1la,9,11,13,4.999731775074237,4
ficutr,0,1,1,4.50958904109589,4
aspicr,328,366,368,4.973640836498434,4
dendar,6,11,9,4.978137539781373,4
andiin,169,197,184,4.989304350849402,4
diptpa,8,13,8,4.960168598524765,4
ast2gr,22,28,31,5.020469036045699,4
hirtam,17,26,20,5.062813487881985,4
ficuob,0,1,0,NA,4
tropra,191,237,217,4.987096028385452,4
protpa,2200,2571,2464,5.002471058376893,4
ficuto,0,2,0,NA,4
unonpi,281,386,329,4.999435330889329,4
maquco,843,954,920,4.986675375803953,4
gar2ma,299,330,336,4.979747968926055,4
macrgl,44,63,49,5.014102444630821,4
cespma,1,2,1,5.005479452054795,4
cordla,515,757,647,4.9837057513247505,4
cupala,19,27,25,5.031204464738711,4
zantse,0,0,0,NA,4
xyl1ma,629,756,801,4.982121296520246,4
geniam,33,37,36,5.007523962318481,4
ingasp,3,3,4,4.955479452054795,4
hampap,1,8,15,5.261575342465753,4
sapisp,0,0,1,NA,4
nectci,99,175,128,5.010334393346381,4
ficuma,1,1,1,4.991780821917808,4
maytsc,39,48,40,5.023436073059365,4
phoeci,18,43,35,5.030612114868246,4
licahy,92,103,97,4.995274102856958,4
tachve,1849,2629,2172,5.006979928525922,4
protco,409,526,483,4.992349638206872,4
celtsc,37,48,37,4.984663087745277,4
nects1,1,1,1,4.980821917808219,4
ormocr,55,58,67,4.998699934432704,4
apeihy,0,0,0,NA,4
ficupo,0,0,0,NA,4
turpoc,1,4,6,4.925342465753425,4
tremmi,0,6,5,4.913972602739726,4
ingasa,98,142,110,4.996270675109186,4
ocotce,122,236,167,5.0069454543432315,4
guargr,31,39,39,5.022760800842992,4
ingapu,6,8,10,4.957123287671233,4
nectgl,48,93,83,5.030949427404711,4
micoar,188,611,435,5.00818191446841,4
ficuc2,1,1,4,5.010958904109589,4
ficuin,2,5,13,4.954394099051637,4
ormoma,83,107,98,4.984122600518889,4
termam,8,14,8,5.030919765166337,4
tri2pa,301,382,324,4.985269965990274,4
ficubu,1,1,1,5.005479452054795,4
tet4jo,0,0,0,NA,4
pse1se,2,4,5,5.162328767123288,4
tocopi,2,2,2,4.991780821917808,4
sch2mo,0,0,0,NA,4
pochse,4,8,4,4.9811643835616435,4
ocotpu,64,126,92,5.0341619633757775,4
ingami,0,4,1,4.736301369863014,4
ingaru,3,8,4,4.905821917808219,4
cuparu,64,99,84,5.018080017395087,4
poutfo,1,1,1,4.950684931506849,4
vochfe,2,8,7,5.063747553816046,4
ast1st,0,0,1,NA,4
coccco,67,103,74,5.018127770009666,4
cupaci,2,6,3,4.943835616438356,4
tri4ga,0,0,3,NA,4
laetpr,3,6,4,5.21986301369863,4
lafopu,0,0,0,NA,4
entesc,5,6,5,5.052237442922374,4
cedrod,0,3,3,4.909589041095891,4
ingaqu,353,469,384,4.981656860633233,4
pourbi,19,26,36,4.964026460601802,4
pit1ma,0,0,0,NA,4
ingath,29,62,61,4.962446484066557,4
pochqu,0,0,0,NA,4
alchla,0,1,0,NA,4
sipagu,2,2,5,5.047397260273969,4
ochrpy,0,0,2,NA,4
oenoma,5,22,32,5.044520547945205,4
ery2ma,166,230,210,5.004524802178171,4
nectpu,45,68,53,4.967182582518659,4
socrex,25,38,42,4.974109932365158,4
perexa,153,183,163,4.9814188362249325,4
chimpa,0,1,0,NA,4
schipa,4,8,6,4.949315068493151,4
elaeol,0,0,0,NA,4
maclti,0,0,0,NA,4
aegipa,7,18,10,5.118203957382043,5
beilpe,1373,1772,1577,5.048163062427414,5
tet2pa,2843,3415,3642,5.037949180114608,5
alsebl,4890,6002,5831,5.049441161299708,5
ocotob,37,87,108,5.075372207351422,5
solaha,9,26,45,4.980681419037585,5
quaras,922,1084,1032,5.053840271597999,5
gustsu,20,39,54,5.0549389220622105,5
pterro,959,1204,1143,5.043891526939193,5
virosu,14,22,15,5.012021585720217,5
simaam,453,763,1037,5.060700788019523,5
protte,1662,2068,2006,5.045627692582676,5
brosal,383,434,415,5.0466945238184016,5
ingape,53,73,78,5.044290793962403,5
poular,110,206,131,5.023146552905663,5
casear,14,29,31,5.00541545400521,5
hirttr,2682,3213,2939,5.044847343444965,5
ocotwh,85,158,141,5.046070144758573,5
guatdu,357,566,471,5.054648853195895,5
anacex,2,2,4,4.973287671232876,5
tri2tu,7447,8904,8439,5.053333815868182,5
guarsp,567,819,632,5.048484922106384,5
guargu,934,1202,1149,5.047175176899647,5
zantpr,35,52,42,5.094638466556273,5
termob,22,27,23,5.090640372355681,5
guazul,11,21,19,5.037463521818248,5
tab1ro,99,142,132,5.030377282374197,5
sloate,290,333,303,5.029294776941592,5
alchco,22,51,60,5.045170561375238,5
loncla,360,492,423,5.04204854668774,5
luehse,25,92,64,5.104982504466943,5
tripcu,31,56,56,5.076614481409002,5
cecrob,6,43,86,5.029021981522777,5
licapl,205,245,234,5.041736689055672,5
eugeco,378,471,432,5.051028366731621,5
heisco,387,461,410,5.035577765328064,5
eugene,349,414,387,5.040401032360536,5
pri2co,647,744,699,5.011924822216199,5
sponra,96,169,172,5.039118948295069,5
poutre,746,1058,863,5.050674666393572,5
guapst,23,29,34,5.120667426157998,5
cordbi,148,307,230,5.065935400511784,5
zantbe,11,78,39,5.110642781875657,5
annosp,31,85,93,5.046338280782928,5
tab2ar,789,974,1010,5.042061381069893,5
jac1co,6,15,46,5.151236847329758,5
zantp1,25,41,91,5.174622837903826,5
chr2ar,428,512,513,5.045737859739243,5
eugeoe,1080,1424,1345,5.073309949172996,5
huracr,2,3,5,4.923835616438356,5
sapiau,3,15,26,5.045423252546541,5
apeime,6,13,58,4.9854947131281575,5
ficuyo,1,1,2,4.832876712328767,5
ingago,171,235,209,5.024808535740135,5
ceibpe,1,9,19,5.1038532404069485,5
cavapl,1,2,6,5.012328767123288,5
chr2ca,83,105,119,5.039229500019187,5
lindla,1,6,1,5.16027397260274,5
virose,521,691,542,5.047986039264078,5
pla1pi,49,82,96,5.047346586479565,5
lacmpa,17,24,22,5.1194582814445795,5
drypst,1241,1448,1426,5.0418489605364485,5
myrofr,3,5,3,5.089315068493151,5
ingaco,24,36,38,5.0458583673796396,5
posola,37,41,41,5.014700968927501,5
casesy,45,70,62,5.075033141847109,5
pla2el,36,50,55,5.027726027397264,5
cordal,12,28,74,5.028235574125979,5
dio2ar,47,57,61,5.019899062725306,5
tratas,2,8,11,5.223225404732251,5
colugl,0,2,0,NA,5
apeiti,1,6,11,5.076131174761312,5
gar2in,3417,3808,3923,5.035239507565068,5
poutst,24,34,28,4.986554621848739,5
tab1gu,24,28,30,5.034696673189828,5
ingafa,33,46,35,5.011631072917553,5
sch1zo,0,0,0,NA,5
sterap,13,19,15,5.057072819033884,5
cassel,695,784,819,5.0495677512311605,5
calolo,803,974,1279,5.004161683039718,5
hyeral,16,26,33,5.104700322508537,5
zuelgu,16,23,23,4.967361524717093,5
cecrin,40,330,586,5.08065187854987,5
hassfl,118,183,161,5.057596549003413,5
sponmo,19,40,50,5.077684931506849,5
ingama,112,242,261,5.100163137797873,5
allops,33,57,45,5.072613954978771,5
virosp,5,7,6,4.984801043705151,5
sympgl,87,112,108,5.037317895194609,5
mar1la,10,13,12,5.0135932560590115,5
ficutr,0,1,0,NA,5
aspicr,319,368,356,5.049914759989561,5
dendar,7,9,8,5.015791476407915,5
andiin,161,184,175,5.050284948523779,5
diptpa,8,8,15,5.095159817351599,5
ast2gr,25,31,51,5.034611352274006,5
hirtam,15,20,16,5.002123287671233,5
ficuob,0,0,0,NA,5
tropra,170,217,193,5.063117188197607,5
protpa,2108,2464,2417,5.032985385203267,5
ficuto,0,0,3,NA,5
unonpi,229,329,309,5.058759349667769,5
maquco,786,920,837,5.049319526543008,5
gar2ma,310,336,352,5.059288456976815,5
macrgl,42,49,50,5.023067374895164,5
cespma,1,1,1,4.991780821917808,5
cordla,452,647,615,5.0328249618334935,5
cupala,16,25,26,5.067991570073765,5
zantse,0,0,0,NA,5
xyl1ma,672,801,934,5.0413185118730715,5
geniam,30,36,32,5.041904490106545,5
ingasp,2,4,8,5.0479452054794525,5
hampap,5,15,119,4.940292390928973,5
sapisp,0,1,0,NA,5
nectci,84,128,120,5.03214897260274,5
ficuma,1,1,2,5.076712328767123,5
maytsc,33,40,38,5.046297764960342,5
phoeci,14,35,38,5.093498815531978,5
licahy,82,97,97,5.034401920632681,5
tachve,1536,2172,1907,5.046014240899575,5
protco,349,483,420,5.058197339686319,5
celtsc,31,37,36,5.05266567937801,5
nects1,0,1,0,NA,5
ormocr,66,67,86,5.043934992130772,5
apeihy,0,0,0,NA,5
ficupo,0,0,0,NA,5
turpoc,2,6,19,5.095818312905552,5
tremmi,0,5,14,5.261369863013699,5
ingasa,63,110,80,5.073072851805726,5
ocotce,103,167,182,5.042718777408305,5
guargr,26,39,31,5.040753707921184,5
ingapu,4,10,20,5.031780821917808,5
nectgl,38,83,95,5.024700966808837,5
micoar,121,435,387,5.044483747294879,5
ficuc2,2,4,2,5.031506849315068,5
ficuin,9,13,13,5.021917808219178,5
ormoma,84,98,100,5.037151244059269,5
termam,4,8,11,5.058032378580321,5
tri2pa,235,324,281,5.053584056602471,5
ficubu,0,1,3,5.1662100456621,5
tet4jo,0,0,0,NA,5
pse1se,3,5,23,5.168314472900534,5
tocopi,2,2,2,5.010958904109589,5
sch2mo,0,0,0,NA,5
pochse,4,4,5,5.111643835616438,5
ocotpu,47,92,93,5.052377887503443,5
ingami,0,1,0,NA,5
ingaru,2,4,4,5.280821917808219,5
cuparu,57,84,78,5.0086030407948225,5
poutfo,1,1,1,5.019178082191781,5
vochfe,4,7,9,5.181952598390956,5
ast1st,1,1,1,5.010958904109589,5
coccco,50,74,77,5.048303418166433,5
cupaci,3,3,7,5.084148727984347,5
tri4ga,0,3,0,NA,5
laetpr,2,4,2,5.103424657534247,5
lafopu,0,0,0,NA,5
entesc,3,5,4,4.95917808219178,5
cedrod,0,3,6,5.094063926940639,5
ingaqu,304,384,337,5.044355221840571,5
pourbi,23,36,76,5.009388768725471,5
pit1ma,0,0,2,NA,5
ingath,35,61,102,5.042795559724002,5
pochqu,0,0,0,NA,5
alchla,0,0,0,NA,5
sipagu,4,5,4,5.012876712328771,5
ochrpy,0,2,1,5.238356164383561,5
oenoma,11,32,28,4.997358121330721,5
ery2ma,147,210,208,5.04792789402378,5
nectpu,35,53,48,5.036900146463343,5
socrex,13,42,28,5.092498369210697,5
perexa,140,163,149,5.0505986911087755,5
chimpa,0,0,0,NA,5
schipa,5,6,8,5.048972602739726,5
elaeol,0,0,0,NA,5
maclti,0,0,0,NA,5
aegipa,3,10,12,4.852191780821918,6
beilpe,1250,1577,1461,4.981216786092539,6
tet2pa,3050,3642,3783,4.9650198716491625,6
alsebl,4820,5831,5989,4.972147029155927,6
ocotob,50,108,172,4.9789199202388135,6
solaha,8,45,42,4.965949119373778,6
quaras,885,1032,1060,4.97975722348783,6
gustsu,18,54,42,4.986468072769441,6
pterro,845,1143,978,4.978359577479065,6
virosu,10,15,18,4.981156773211568,6
simaam,610,1037,1139,4.9941533531271025,6
protte,1644,2006,2092,4.965620820035507,6
brosal,356,415,389,4.980739947499962,6
ingape,55,78,98,4.958778664258117,6
poular,69,131,117,4.896573063382645,6
casear,16,31,50,5.02877065841803,6
hirttr,2466,2939,2729,4.9707492150585475,6
ocotwh,87,141,183,4.995938987661518,6
guatdu,323,471,499,4.997431957828355,6
anacex,1,4,5,4.795205479452055,6
tri2tu,7141,8439,8087,4.9646062076924675,6
guarsp,469,632,552,4.974009607386356,6
guargu,924,1149,1264,4.962389538373176,6
zantpr,30,42,42,4.985127201565558,6
termob,19,23,27,4.944570180663091,6
guazul,8,19,23,4.911457321087111,6
tab1ro,95,132,136,4.99532268698264,6
sloate,276,303,291,4.973427985363143,6
alchco,22,60,154,5.009573029710013,6
loncla,307,423,425,4.983689810131768,6
luehse,21,64,88,4.971104452054795,6
tripcu,30,56,52,4.950963420141497,6
cecrob,3,86,87,5.007676871981341,6
licapl,192,234,218,4.945737720590053,6
eugeco,356,432,427,4.983985559939968,6
heisco,329,410,348,4.957060420675062,6
eugene,326,387,404,4.973989179739888,6
pri2co,609,699,654,4.988606697335801,6
sponra,78,172,174,4.931806564064255,6
poutre,635,863,747,4.960951727140099,6
guapst,22,34,28,5.029734085414984,6
cordbi,110,230,250,4.983600238237048,6
zantbe,8,39,72,5.026911368692189,6
annosp,25,93,120,4.881545146560613,6
tab2ar,791,1010,1090,4.981981716080366,6
jac1co,14,46,82,4.998107177617343,6
zantp1,45,91,144,4.945060590094839,6
chr2ar,431,513,541,4.962868125419518,6
eugeoe,1012,1345,1396,4.985541028112975,6
huracr,1,5,3,4.94648401826484,6
sapiau,7,26,21,5.025600883135135,6
apeime,26,58,76,5.016044303010716,6
ficuyo,0,2,0,NA,6
ingago,154,209,186,4.981761729676702,6
ceibpe,3,19,16,4.920043258832016,6
cavapl,2,6,15,4.8821004566210044,6
chr2ca,99,119,142,4.9472931059361835,6
lindla,0,1,4,4.63972602739726,6
virose,414,542,456,4.9787004569757265,6
pla1pi,58,96,117,4.9745258166491,6
lacmpa,16,22,22,4.978206724782074,6
drypst,1220,1426,1372,4.96226402100241,6
myrofr,3,3,11,4.804981320049816,6
ingaco,22,38,40,4.994080749819752,6
posola,37,41,41,4.968459739391912,6
casesy,44,62,70,5.0011312417145355,6
pla2el,40,55,54,4.930999492643328,6
cordal,32,74,103,4.986864268178272,6
dio2ar,50,61,72,5.018302891933029,6
tratas,4,11,15,5.008601079286014,6
colugl,0,0,2,NA,6
apeiti,4,11,18,5.00271205202712,6
gar2in,3505,3923,4076,4.9663160623688265,6
poutst,23,28,25,5.014309197651666,6
tab1gu,26,30,28,4.983405088062624,6
ingafa,29,35,33,4.9897171321828875,6
sch1zo,0,0,0,NA,6
sterap,10,15,17,4.969637389202255,6
cassel,716,819,830,4.974222562385627,6
calolo,1069,1279,1667,4.959853473198816,6
hyeral,20,33,63,4.909565320524232,6
zuelgu,12,23,20,4.976885050625373,6
cecrin,20,586,330,4.891651981973167,6
hassfl,90,161,137,4.951070234591453,6
sponmo,26,50,57,4.97756981494833,6
ingama,148,261,621,4.933929990864531,6
allops,30,45,53,4.955570489072682,6
virosp,5,6,6,4.9940639269406395,6
sympgl,87,108,112,4.961679169384652,6
mar1la,10,12,14,4.98375733855186,6
ficutr,0,0,0,NA,6
aspicr,305,356,350,4.9689962839992114,6
dendar,6,8,9,5.016476407914764,6
andiin,139,175,152,4.963662890101971,6
diptpa,12,15,17,4.98284179425195,6
ast2gr,44,51,67,4.967773541639105,6
hirtam,13,16,13,4.923893572181244,6
ficuob,0,0,1,NA,6
tropra,146,193,169,4.957869772087093,6
protpa,2075,2417,2556,4.975342185033428,6
ficuto,1,3,3,4.7936073059360735,6
unonpi,234,309,349,4.975544742240383,6
maquco,693,837,727,4.9606103336197105,6
gar2ma,308,352,344,4.976082604477395,6
macrgl,35,50,42,4.958481409001953,6
cespma,1,1,1,4.93972602739726,6
cordla,453,615,640,4.978606261833164,6
cupala,22,26,41,4.976568403197206,6
zantse,0,0,0,NA,6
xyl1ma,802,934,1135,4.958006943582068,6
geniam,26,32,33,4.97833904109589,6
ingasp,6,8,10,4.925890410958904,6
hampap,34,119,135,5.009377827234396,6
sapisp,0,0,0,NA,6
nectci,78,120,123,4.997569328433008,6
ficuma,1,2,1,4.936986301369863,6
maytsc,32,38,35,4.928486970851789,6
phoeci,14,38,50,4.911714491708729,6
licahy,86,97,112,4.958704127746282,6
tachve,1336,1907,1770,4.9930884447365935,6
protco,302,420,408,4.980890219101343,6
celtsc,22,36,22,4.963823163138231,6
nects1,0,0,0,NA,6
ormocr,81,86,90,4.96184205868819,6
apeihy,0,0,0,NA,6
ficupo,0,0,0,NA,6
turpoc,7,19,40,4.9263049747656815,6
tremmi,0,14,0,NA,6
ingasa,46,80,74,4.982820251758611,6
ocotce,125,182,219,4.976206629424872,6
guargr,24,31,37,4.99769738806416,6
ingapu,12,20,41,5.129154694286671,6
nectgl,56,95,187,4.99429230170144,6
micoar,129,387,563,4.908842913056784,6
ficuc2,1,2,3,4.988584474885845,6
ficuin,6,13,10,4.90286617492097,6
ormoma,82,100,94,4.9847362285048105,6
termam,6,11,13,4.847973943864359,6
tri2pa,211,281,273,4.971470535347104,6
ficubu,0,3,0,NA,6
tet4jo,0,0,1,NA,6
pse1se,7,23,28,4.948319577980093,6
tocopi,1,2,1,5.013698630136986,6
sch2mo,0,0,0,NA,6
pochse,4,5,8,4.921232876712328,6
ocotpu,56,93,118,4.943771454820984,6
ingami,0,0,2,NA,6
ingaru,3,4,3,5.093150684931507,6
cuparu,56,78,91,4.9589693411611275,6
poutfo,1,1,1,5.021917808219178,6
vochfe,8,9,19,4.88586077064808,6
ast1st,1,1,1,5,6
coccco,57,77,105,4.9425867283401574,6
cupaci,7,7,8,5.0028375733855155,6
tri4ga,0,0,1,NA,6
laetpr,1,2,11,4.625031133250309,6
lafopu,0,0,0,NA,6
entesc,2,4,3,4.967579908675799,6
cedrod,2,6,8,4.905022831050228,6
ingaqu,241,337,278,4.962812999062161,6
pourbi,48,76,95,5.031355443403027,6
pit1ma,2,2,16,5.038698630136986,6
ingath,36,102,146,5.039022146670642,6
pochqu,0,0,0,NA,6
alchla,0,0,0,NA,6
sipagu,4,4,7,4.994324853228962,6
ochrpy,0,1,0,NA,6
oenoma,10,28,24,4.993509458577956,6
ery2ma,168,208,259,4.9689727247946465,6
nectpu,36,48,60,4.966529680365297,6
socrex,12,28,24,4.943395303326813,6
perexa,121,149,128,4.990347895789281,6
chimpa,0,0,0,NA,6
schipa,7,8,9,4.987861491628615,6
elaeol,0,0,0,NA,6
maclti,0,0,0,NA,6
aegipa,2,12,4,5.251369863013698,7
beilpe,1129,1461,1370,5.153533322916848,7
tet2pa,3141,3783,4343,5.160119670036585,7
alsebl,4981,5989,6089,5.153869251771801,7
ocotob,83,172,215,5.182045237336733,7
solaha,8,42,107,5.049832043942908,7
quaras,896,1060,1133,5.183441292350975,7
gustsu,20,42,52,5.123837121782328,7
pterro,687,978,774,5.152043610813063,7
virosu,14,18,20,5.224231354642321,7
simaam,679,1139,1380,5.145048690611347,7
protte,1654,2092,2210,5.180886024026611,7
brosal,331,389,362,5.145783219260773,7
ingape,62,98,96,5.199567840834965,7
poular,71,117,151,5.121997129544987,7
casear,21,50,39,5.13914576747454,7
hirttr,2208,2729,2420,5.153130386039864,7
ocotwh,104,183,186,5.17702165267344,7
guatdu,340,499,540,5.1689965420440105,7
anacex,2,5,4,5.0842465753424655,7
tri2tu,6773,8087,7758,5.161368924469285,7
guarsp,387,552,468,5.145433280900824,7
guargu,1029,1264,1352,5.154004176486708,7
zantpr,28,42,35,5.096960208741036,7
termob,17,27,20,5.19470319634704,7
guazul,7,23,25,5.091778439547343,7
tab1ro,96,136,151,5.154548244045879,7
sloate,248,291,263,5.163417804012916,7
alchco,60,154,111,5.120481271166205,7
loncla,313,425,382,5.137470794959314,7
luehse,45,88,74,5.17593483894854,7
tripcu,27,52,64,5.085613145416231,7
cecrob,3,87,92,5.058960245904442,7
licapl,186,218,203,5.200432620903862,7
eugeco,339,427,399,5.17277248814829,7
heisco,267,348,291,5.170656784303793,7
eugene,348,404,424,5.140333355511833,7
pri2co,551,654,605,5.122624734670619,7
sponra,71,174,134,5.10647471193865,7
poutre,546,747,671,5.160190100649902,7
guapst,21,28,32,5.142208904109589,7
cordbi,135,250,316,5.123266793826943,7
zantbe,7,72,68,4.988118900528245,7
annosp,23,120,67,5.13750630409596,7
tab2ar,851,1090,1119,5.140111989342186,7
jac1co,33,82,58,5.068155581414102,7
zantp1,64,144,81,5.130439286318279,7
chr2ar,453,541,557,5.153078919833124,7
eugeoe,1087,1396,1591,5.172738110343025,7
huracr,2,3,7,5.187997390737113,7
sapiau,9,21,13,5.168076672186257,7
apeime,25,76,47,5.133362223688046,7
ficuyo,0,0,0,NA,7
ingago,144,186,190,5.145783659325071,7
ceibpe,0,16,21,5.075864318330077,7
cavapl,12,15,16,5.217214611872146,7
chr2ca,119,142,152,5.153205824710342,7
lindla,0,4,2,5.027397260273973,7
virose,332,456,376,5.121683361712353,7
pla1pi,70,117,131,5.144206972921813,7
lacmpa,16,22,25,5.199417185554169,7
drypst,1167,1372,1407,5.197465019246593,7
myrofr,4,11,6,5.139767538397673,7
ingaco,24,40,43,5.154561962408411,7
posola,38,41,43,5.163388992921463,7
casesy,58,70,80,5.146369863013691,7
pla2el,36,54,43,5.147305700093206,7
cordal,46,103,124,5.081705914908039,7
dio2ar,54,72,84,5.142949554250922,7
tratas,4,15,12,5.181415525114155,7
colugl,0,2,1,4.9082191780821915,7
apeiti,6,18,12,5.197412480974125,7
gar2in,3625,4076,4307,5.15504894131856,7
poutst,22,25,23,5.106749255509228,7
tab1gu,24,28,30,5.119973907371166,7
ingafa,17,33,21,5.188104133309612,7
sch1zo,0,0,0,NA,7
sterap,8,17,14,5.098112121560961,7
cassel,702,830,804,5.155662297523767,7
calolo,1352,1667,1995,5.140372129096681,7
hyeral,41,63,55,5.170550910276932,7
zuelgu,12,20,17,5.148904109589041,7
cecrin,22,330,644,4.98523659981075,7
hassfl,93,137,147,5.121369223621859,7
sponmo,31,57,98,5.097402508227513,7
ingama,377,621,948,5.145179315819618,7
allops,28,53,43,5.142462146940199,7
virosp,2,6,4,5.193150684931507,7
sympgl,92,112,109,5.151287051832159,7
mar1la,13,14,17,5.1610452400138165,7
ficutr,0,0,4,NA,7
aspicr,287,350,358,5.164601646459455,7
dendar,3,9,4,4.977701674277017,7
andiin,127,152,143,5.154339874256956,7
diptpa,13,17,25,5.151477840451239,7
ast2gr,60,67,83,5.12787933578518,7
hirtam,8,13,9,5.211684814424532,7
ficuob,1,1,5,5.03013698630137,7
tropra,127,169,153,5.180047585217111,7
protpa,2153,2556,2634,5.128037055609788,7
ficuto,0,3,0,NA,7
unonpi,260,349,419,5.177019152376946,7
maquco,587,727,623,5.156491369128968,7
gar2ma,301,344,331,5.132696901566778,7
macrgl,33,42,44,5.166714107809999,7
cespma,1,1,1,5.2027397260273975,7
cordla,431,640,597,5.156665418989922,7
cupala,31,41,52,5.1720617337890875,7
zantse,0,0,0,NA,7
xyl1ma,973,1135,1500,5.163442310864356,7
geniam,30,33,32,5.1873287671232875,7
ingasp,5,10,8,5.085410958904109,7
hampap,29,135,65,5.11633610428131,7
sapisp,0,0,1,NA,7
nectci,93,123,129,5.092217758749748,7
ficuma,0,1,0,NA,7
maytsc,33,35,37,5.208164171999781,7
phoeci,24,50,44,5.14151681195517,7
licahy,106,112,131,5.141045659610692,7
tachve,1219,1770,1602,5.16481366599158,7
protco,303,408,438,5.180858344463703,7
celtsc,17,22,19,5.180264796486857,7
nects1,0,0,0,NA,7
ormocr,81,90,91,5.183954705872507,7
apeihy,0,0,0,NA,7
ficupo,0,0,6,NA,7
turpoc,11,40,17,5.208900080580183,7
tremmi,0,0,1,NA,7
ingasa,48,74,93,5.1637959656519055,7
ocotce,157,219,255,5.122398713660726,7
guargr,29,37,52,5.182658844302672,7
ingapu,14,41,22,5.1532363393372425,7
nectgl,78,187,188,5.185610749426822,7
micoar,192,563,512,5.164665892494346,7
ficuc2,2,3,4,5.181963470319635,7
ficuin,6,10,6,5.087579908675799,7
ormoma,72,94,98,5.130474842224855,7
termam,12,13,26,5.187987355110641,7
tri2pa,200,273,250,5.144168678809776,7
ficubu,0,0,0,NA,7
tet4jo,0,1,0,NA,7
pse1se,9,28,15,5.152772341813437,7
tocopi,1,1,1,5.147945205479452,7
sch2mo,0,0,0,NA,7
pochse,7,8,9,5.200837138508372,7
ocotpu,77,118,121,5.184832302594082,7
ingami,2,2,5,5.200273972602732,7
ingaru,2,3,2,5.1876712328767125,7
cuparu,67,91,106,5.131098986307039,7
poutfo,0,1,1,5.389041095890411,7
vochfe,8,19,28,5.062030075187968,7
ast1st,1,1,1,5.095890410958904,7
coccco,75,105,102,5.127704999808134,7
cupaci,6,8,14,5.107534246575343,7
tri4ga,0,1,1,4.695890410958904,7
laetpr,3,11,15,5.2157907845579174,7
lafopu,0,0,0,NA,7
entesc,3,3,5,5.214063926940639,7
cedrod,2,8,3,5.198173515981735,7
ingaqu,208,278,258,5.14516880920239,7
pourbi,52,95,106,5.088572866645804,7
pit1ma,11,16,25,5.139657534246568,7
ingath,68,146,176,5.081587454579577,7
pochqu,0,0,0,NA,7
alchla,0,0,0,NA,7
sipagu,0,7,0,NA,7
ochrpy,0,0,1,NA,7
oenoma,5,24,11,5.123017849730174,7
ery2ma,184,259,295,5.144495779072049,7
nectpu,45,60,71,5.155529616052482,7
socrex,6,24,22,5.138013698630137,7
perexa,101,128,112,5.111952666340512,7
chimpa,0,0,0,NA,7
schipa,4,9,4,5.046042617960427,7
elaeol,0,0,0,NA,7
maclti,0,0,0,NA,7
